date,eth_close,nav_vault,nav_hodl,nav_usdc,nav_raw_lp,fees_cum,lvr_cum,hedge_pnl_cum,funding_cum
2026-04-07,2239.68,100070.50000000004,100000.00000000004,100000.0,100070.50000000004,,,,
2026-04-08,2190.24,100002.22763275019,98950.1781118345,100000.0,98965.29150892282,,,,
2026-04-09,2190.15,100056.91259452768,98948.26702830021,100000.0,99033.41910178037,,,,
2026-04-10,2246.29,99947.48622386044,100140.3584684623,100000.0,100420.13642914614,,,,
2026-04-11,2285.79,99926.79261624803,100979.11179739717,100000.0,101224.42463459863,,,,
2026-04-12,2191.8,99541.5039541869,98983.30355976205,100000.0,99288.27771590039,,,,
2026-04-13,2370.28,97984.69378713857,102773.19455085808,100000.0,102422.42463931037,,,,
2026-04-14,2323.58,97946.69589975967,101781.55453918065,100000.0,101993.59692588114,,,,
2026-04-15,2360.6,97943.37128302573,102567.6468996153,100000.0,102476.88978949982,,,,
2026-04-16,2348.61,98001.02720705152,102313.04810432596,100000.0,102427.96890571271,,,,
2026-04-17,2419.81,97827.78500243754,103824.9275225579,100000.0,103011.14532994301,,,,
2026-04-18,2351.36,97680.16914790893,102371.44232342902,100000.0,102597.56043930295,,,,
2026-04-19,2263.89,97375.03041297721,100514.0814707219,100000.0,101400.88938209064,,,,
2026-04-20,2314.79,97305.34217438492,101594.90538066579,100000.0,102299.29236512138,,,,
2026-04-21,2328.0,97358.64945584077,101875.4099749754,100000.0,102543.2659706328,,,,
2026-04-22,2375.21,97315.05384372236,102877.87946001373,100000.0,103097.62373330051,,,,
2026-04-23,2331.08,97288.70610448242,101940.81150037082,100000.0,102722.29585963138,,,,
2026-04-24,2315.81,97340.21924590961,101616.56432738765,100000.0,102595.28785483947,,,,
2026-04-25,2319.97,97401.19967594853,101704.89885519445,100000.0,102721.82435949033,,,,
2026-04-26,2370.47,97341.29219367483,102777.22906054155,100000.0,103340.53524965468,,,,
2026-04-27,2303.44,97193.1832506288,101353.89651273136,100000.0,102630.23741181802,,,,
2026-04-28,2289.29,97244.51747047267,101053.43171261923,100000.0,102480.45018375036,,,,
2026-04-29,2251.85,97235.24402356108,100258.42096235795,100000.0,101872.39793574813,,,,
2026-04-30,2256.8,97292.1553035128,100363.53055674347,100000.0,102040.65951551139,,,,
2026-05-01,2295.54,97275.56681969466,101186.14584694438,100000.0,102791.67285900815,,,,
2026-05-02,2316.89,97313.90933360219,101639.49732979904,100000.0,103173.99674577254,,,,
2026-05-03,2322.5,97374.26539224702,101758.62153676928,100000.0,103319.08627066074,,,,
2026-05-04,2346.95,97407.75163045994,102277.79923024919,100000.0,103679.36288198066,,,,
2026-05-05,2360.5,97462.66905176803,102565.5234734661,100000.0,103885.94989419488,,,,
2026-05-06,2350.66,97522.53297274205,102356.5783403846,100000.0,103859.35058671318,,,,
2026-05-07,2289.97,97409.70635421589,101067.87101043381,100000.0,103125.9864014718,2185.5,6322.96324902213,-5441.978761564115,274.30128569180096
