estimator,median_wedge,ci_low,ci_high,n_pools
yang_zhang,-0.13845633718543987,-0.15916069491105092,-0.07030179646875745,11
close_to_close,-0.0896683933047675,-0.13396904747380037,-0.045110149031506896,11
