date,unhedged,naive,lq,squeeth
2026-04-07,100070.50000000004,100070.50000000004,100070.50000000004,100070.50000000004
2026-04-08,98965.29150892282,100002.22763275019,98965.29150927794,88299.69799507958
2026-04-09,99033.41910178037,100056.91259452768,99033.41910212806,87778.1902533791
2026-04-10,100420.13642914614,99947.48622386044,100420.13642867157,100069.16529535038
2026-04-11,101224.42463459863,99926.79261624803,101224.42463355791,108516.3683985245
2026-04-12,99288.27771590039,99541.5039541869,99288.2777157612,86814.50257853343
2026-04-13,102422.42463931037,97984.69378713857,102422.42463663104,127453.6897370051
2026-04-14,101993.59692588114,97946.69589975967,101993.59692342354,116594.70357191202
2026-04-15,102476.88978949982,97943.37128302573,102476.88978677278,124396.78487134124
2026-04-16,102427.96890571271,98001.02720705152,102427.96890304098,121264.40397659925
2026-04-17,103011.14532994301,97827.78500243754,103011.14532688473,136716.0359062882
2026-04-18,102597.56043930295,97680.16914790893,102597.56043636087,121318.20818486087
2026-04-19,101400.88938209064,97375.03041297721,101400.88937953277,101481.43707263595
2026-04-20,102299.29236512138,97305.34217438492,102299.29236215455,112657.4391771774
2026-04-21,102543.2659706328,97358.64945584077,102543.26596758809,115276.06329571929
2026-04-22,103097.62373330051,97315.05384372236,103097.62373002332,125477.55452800548
2026-04-23,102722.29585963138,97288.70610448242,102722.29585649261,115376.91262942628
2026-04-24,102595.28785483947,97340.21924590961,102595.28785176856,111665.5531149301
2026-04-25,102721.82435949033,97401.19967594853,102721.8243563966,112322.99648876849
2026-04-26,103340.53524965468,97341.29219367483,103340.5352463411,123356.9676443983
2026-04-27,102630.23741181802,97193.1832506288,102630.23740868659,108254.9670215818
2026-04-28,102480.45018375036,97244.51747047267,102480.45018067911,104859.14741649764
2026-04-29,101872.39793574813,97235.24402356108,101872.39793283676,96185.69923105989
2026-04-30,102040.65951551139,97292.1553035128,102040.65951256844,97097.65874967647
2026-05-01,102791.67285900815,97275.56681969466,102791.67285586198,105684.87415822376
2026-05-02,103173.99674577254,97313.90933360219,103173.99674253659,110274.8879744036
2026-05-03,103319.08627066074,97374.26539224702,103319.08626740208,111338.11065999747
2026-05-04,103679.36288198066,97407.75163045994,103679.36287864158,116583.19073492757
2026-05-05,103885.94989419488,97462.66905176803,103885.94989081362,119371.22802032935
2026-05-06,103859.35058671318,97522.53297274205,103859.35058335608,116992.07862553693
2026-05-07,103125.9864014718,97409.70635421589,103125.98639826778,103295.10705314757
