pair,tvl_usd,sigma_fee_1d,sigma_fee_3d,sigma_fee_7d,sigma_fee_14d,sigma_fee_30d
USDC/STRK,820719.8888952417,1.3098535370771658,1.2238693434193526,1.0151905273505322,0.9718962870569691,1.0911500768578857
USDC/ETH,1170110.2614968554,0.558701402261729,0.5799358359230311,0.5431470109409398,0.5249031027987638,0.6068079339477118
USDC/WBTC,1620361.4583136046,0.5452330375389791,0.503771577259724,0.4681663970103173,0.46026277055042747,0.5029192517303861
USDC/USDT,126616.38834781865,0.12387815155129225,0.12377035740593129,0.12684727664330803,0.12827069839310423,0.13271377502602913
