pair,n_obs,adf_stat,p_value,half_life_periods,stationary
xSTRK/STRK,40,-2.437439759627782,0.13144687200477528,3.7617347213880254,False
WBTC/tBTC,24,-1.3862393337298642,0.5888550871917695,7.013127539540406,False
USDC/ETH,61,-0.9831137145893655,0.7593732549809737,9.351334577993809,False
